warehouse_id,sku,available_stock,reserved_stock,safety_stock,snapshot_date,snapshot_time
WH003,SKU001,86,5,108,2025-12-30,23:59:59
WH003,SKU002,20,1,94,2025-12-30,23:59:59
WH003,SKU003,79,5,143,2025-12-30,23:59:59
WH003,SKU004,28,3,131,2025-12-30,23:59:59
WH003,SKU005,32,5,147,2025-12-30,23:59:59
WH003,SKU006,79,1,96,2025-12-30,23:59:59
WH003,SKU007,31,0,85,2025-12-30,23:59:59
WH003,SKU008,54,8,131,2025-12-30,23:59:59
WH003,SKU009,59,0,150,2025-12-30,23:59:59
WH003,SKU010,42,1,141,2025-12-30,23:59:59
WH003,SKU011,25,5,135,2025-12-30,23:59:59
WH003,SKU012,97,5,93,2025-12-30,23:59:59
WH003,SKU013,79,13,87,2025-12-30,23:59:59
WH003,SKU014,60,2,97,2025-12-30,23:59:59
WH003,SKU015,25,5,104,2025-12-30,23:59:59
WH003,SKU016,88,0,82,2025-12-30,23:59:59
WH003,SKU017,46,5,149,2025-12-30,23:59:59
WH003,SKU018,82,1,94,2025-12-30,23:59:59
WH003,SKU019,77,4,110,2025-12-30,23:59:59
WH003,SKU020,78,1,91,2025-12-30,23:59:59
WH003,SKU021,29,3,102,2025-12-30,23:59:59
WH003,SKU022,98,14,92,2025-12-30,23:59:59
WH003,SKU023,59,6,124,2025-12-30,23:59:59
WH003,SKU024,50,1,134,2025-12-30,23:59:59
WH003,SKU025,33,6,92,2025-12-30,23:59:59
